#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
  13.864210  0.113641E+01  0.201376E+01
  13.891420  0.111284E+01  0.199680E+01
  13.918630  0.109313E+01  0.198109E+01
  13.945840  0.107509E+01  0.196728E+01
  13.973050  0.105746E+01  0.195453E+01
  14.000260  0.104012E+01  0.194194E+01
  14.027470  0.102341E+01  0.192921E+01
  14.054690  0.100748E+01  0.191642E+01
  14.081900  0.992179E+00  0.190365E+01
  14.109110  0.977391E+00  0.189056E+01
  14.136320  0.963568E+00  0.187686E+01
  14.163530  0.951260E+00  0.186292E+01
  14.190740  0.940410E+00  0.184937E+01
  14.217950  0.930646E+00  0.183646E+01
  14.245170  0.921712E+00  0.182417E+01
  14.272380  0.913543E+00  0.181245E+01
  14.299590  0.906159E+00  0.180133E+01
  14.326800  0.899617E+00  0.179100E+01
  14.354010  0.893780E+00  0.178187E+01
  14.381220  0.888054E+00  0.177426E+01
  14.408430  0.881667E+00  0.176793E+01
  14.435650  0.874214E+00  0.176213E+01
  14.462860  0.866000E+00  0.175612E+01
  14.490070  0.857662E+00  0.174979E+01
  14.517280  0.849381E+00  0.174354E+01
  14.544490  0.840874E+00  0.173754E+01
  14.571700  0.831758E+00  0.173149E+01
  14.598910  0.822224E+00  0.172470E+01
  14.626120  0.813080E+00  0.171708E+01
  14.653340  0.804712E+00  0.170916E+01
  14.680550  0.797022E+00  0.170140E+01
  14.707760  0.789776E+00  0.169407E+01
  14.734970  0.782553E+00  0.168725E+01
  14.762180  0.775018E+00  0.168055E+01
  14.789390  0.767469E+00  0.167353E+01
  14.816600  0.760301E+00  0.166631E+01
  14.843820  0.753619E+00  0.165915E+01
  14.871030  0.747379E+00  0.165227E+01
  14.898240  0.741471E+00  0.164580E+01
  14.925450  0.735756E+00  0.163981E+01
  14.952660  0.730133E+00  0.163433E+01
  14.979870  0.724516E+00  0.162938E+01
  15.007080  0.718801E+00  0.162499E+01
  15.034300  0.712936E+00  0.162114E+01
  15.061510  0.706936E+00  0.161795E+01
  15.088720  0.700659E+00  0.161573E+01
  15.115930  0.693717E+00  0.161481E+01
  15.143140  0.685287E+00  0.161561E+01
  15.170350  0.673540E+00  0.161816E+01
  15.197560  0.655683E+00  0.162008E+01
  15.224780  0.632616E+00  0.161527E+01
  15.251990  0.611562E+00  0.160197E+01
  15.279200  0.596389E+00  0.158518E+01
  15.306410  0.585644E+00  0.156873E+01
  15.333620  0.577323E+00  0.155357E+01
  15.360830  0.570188E+00  0.153948E+01
