#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
  11.115850  0.150140E+01  0.748785E+00
  11.143070  0.155956E+01  0.769172E+00
  11.170280  0.161248E+01  0.794968E+00
  11.197490  0.166009E+01  0.825964E+00
  11.224700  0.170148E+01  0.861324E+00
  11.251910  0.173514E+01  0.899503E+00
  11.279120  0.176098E+01  0.936136E+00
  11.306330  0.178384E+01  0.968360E+00
  11.333550  0.180848E+01  0.999028E+00
  11.360760  0.183488E+01  0.103300E+01
  11.387970  0.185979E+01  0.107284E+01
  11.415180  0.187904E+01  0.111843E+01
  11.442390  0.188907E+01  0.116564E+01
  11.469600  0.189267E+01  0.120873E+01
  11.496810  0.189489E+01  0.124921E+01
  11.524030  0.189446E+01  0.129051E+01
  11.551240  0.188783E+01  0.133094E+01
  11.578450  0.187573E+01  0.136520E+01
  11.605660  0.186377E+01  0.139075E+01
  11.632870  0.185810E+01  0.140975E+01
  11.660080  0.186251E+01  0.142809E+01
  11.687290  0.187733E+01  0.145369E+01
  11.714510  0.189679E+01  0.149600E+01
  11.741720  0.190540E+01  0.155859E+01
  11.768930  0.188764E+01  0.162631E+01
  11.796140  0.185370E+01  0.167642E+01
  11.823350  0.182543E+01  0.171231E+01
  11.850560  0.180749E+01  0.175075E+01
  11.877770  0.178916E+01  0.180596E+01
  11.904990  0.174482E+01  0.187661E+01
  11.932200  0.166309E+01  0.192740E+01
  11.959410  0.157828E+01  0.193689E+01
  11.986620  0.151397E+01  0.192565E+01
  12.013830  0.146596E+01  0.191016E+01
  12.041040  0.142901E+01  0.189435E+01
  12.068250  0.140061E+01  0.188055E+01
  12.095470  0.137795E+01  0.187041E+01
  12.122680  0.135828E+01  0.186423E+01
  12.149890  0.133960E+01  0.186112E+01
  12.177100  0.132116E+01  0.185979E+01
  12.204310  0.130327E+01  0.185937E+01
  12.231520  0.128696E+01  0.186010E+01
  12.258730  0.127244E+01  0.186397E+01
  12.285940  0.125753E+01  0.187346E+01
  12.313160  0.123680E+01  0.188918E+01
  12.340370  0.120434E+01  0.190459E+01
  12.367580  0.116470E+01  0.190958E+01
  12.394790  0.112757E+01  0.190485E+01
  12.422000  0.109558E+01  0.189555E+01
  12.449210  0.106832E+01  0.188496E+01
  12.476420  0.104425E+01  0.187489E+01
  12.503640  0.102193E+01  0.186560E+01
  12.530850  0.100066E+01  0.185682E+01
  12.558060  0.980261E+00  0.184828E+01
  12.585270  0.960881E+00  0.183999E+01
  12.612480  0.942522E+00  0.183246E+01
  12.639690  0.924831E+00  0.182620E+01
  12.666900  0.907033E+00  0.182225E+01
  12.694120  0.886077E+00  0.182090E+01
  12.721330  0.859350E+00  0.181786E+01
  12.748540  0.830440E+00  0.180843E+01
  12.775750  0.804356E+00  0.179392E+01
  12.802960  0.781988E+00  0.177763E+01
  12.830170  0.762408E+00  0.176119E+01
  12.857380  0.744723E+00  0.174508E+01
  12.884600  0.728369E+00  0.172938E+01
  12.911810  0.713002E+00  0.171411E+01
  12.939020  0.698303E+00  0.169921E+01
  12.966230  0.684050E+00  0.168451E+01
  12.993440  0.670152E+00  0.166980E+01
  13.020650  0.656645E+00  0.165486E+01
  13.047860  0.643705E+00  0.163956E+01
  13.075080  0.631568E+00  0.162391E+01
  13.102290  0.620395E+00  0.160811E+01
  13.129500  0.610209E+00  0.159237E+01
  13.156710  0.600948E+00  0.157686E+01
  13.183920  0.592523E+00  0.156171E+01
  13.211130  0.584787E+00  0.154703E+01
  13.238340  0.577587E+00  0.153280E+01
  13.265560  0.570898E+00  0.151896E+01
  13.292770  0.564782E+00  0.150558E+01
  13.319980  0.559161E+00  0.149287E+01
  13.347190  0.553798E+00  0.148095E+01
  13.374400  0.548385E+00  0.146979E+01
  13.401610  0.542722E+00  0.145918E+01
  13.428820  0.536823E+00  0.144914E+01
  13.456030  0.529820E+00  0.143979E+01
  13.483250  0.521133E+00  0.142911E+01
  13.510460  0.513121E+00  0.141607E+01
  13.537670  0.507246E+00  0.140205E+01
  13.564880  0.503515E+00  0.138840E+01
  13.592090  0.501695E+00  0.137577E+01
  13.619300  0.501864E+00  0.136522E+01
  13.646510  0.503194E+00  0.135848E+01
  13.673730  0.502928E+00  0.135718E+01
  13.700940  0.496210E+00  0.135969E+01
  13.728150  0.481707E+00  0.135983E+01
  13.755360  0.463574E+00  0.135362E+01
  13.782570  0.446197E+00  0.134141E+01
  13.809780  0.431627E+00  0.132574E+01
  13.836990  0.419620E+00  0.130821E+01
  13.864210  0.410350E+00  0.128938E+01
  13.891420  0.404077E+00  0.127040E+01
  13.918630  0.400273E+00  0.125243E+01
  13.945840  0.397830E+00  0.123613E+01
  13.973050  0.395530E+00  0.122114E+01
  14.000260  0.393169E+00  0.120643E+01
  14.027470  0.391356E+00  0.119175E+01
  14.054690  0.390307E+00  0.117739E+01
  14.081900  0.389958E+00  0.116361E+01
  14.109110  0.390129E+00  0.115062E+01
  14.136320  0.390473E+00  0.113851E+01
  14.163530  0.390641E+00  0.112708E+01
  14.190740  0.390546E+00  0.111600E+01
  14.217950  0.390317E+00  0.110499E+01
  14.245170  0.390162E+00  0.109398E+01
  14.272380  0.390225E+00  0.108301E+01
  14.299590  0.390650E+00  0.107214E+01
  14.326800  0.391545E+00  0.106154E+01
  14.354010  0.392878E+00  0.105147E+01
  14.381220  0.394502E+00  0.104210E+01
  14.408430  0.396210E+00  0.103358E+01
  14.435650  0.397606E+00  0.102591E+01
  14.462860  0.398551E+00  0.101874E+01
  14.490070  0.399406E+00  0.101198E+01
  14.517280  0.400364E+00  0.100654E+01
  14.544490  0.399376E+00  0.100363E+01
  14.571700  0.393706E+00  0.100006E+01
  14.598910  0.386242E+00  0.992424E+00
  14.626120  0.379957E+00  0.981789E+00
  14.653340  0.375340E+00  0.969851E+00
  14.680550  0.372066E+00  0.957425E+00
  14.707760  0.369862E+00  0.944804E+00
  14.734970  0.368577E+00  0.932172E+00
  14.762180  0.368046E+00  0.919692E+00
  14.789390  0.368059E+00  0.907410E+00
  14.816600  0.368496E+00  0.895242E+00
  14.843820  0.369364E+00  0.883103E+00
  14.871030  0.370736E+00  0.870974E+00
  14.898240  0.372735E+00  0.858914E+00
  14.925450  0.375404E+00  0.847135E+00
  14.952660  0.378596E+00  0.835825E+00
  14.979870  0.382097E+00  0.825027E+00
  15.007080  0.385709E+00  0.814646E+00
  15.034300  0.389377E+00  0.804445E+00
  15.061510  0.393293E+00  0.794281E+00
  15.088720  0.397640E+00  0.784253E+00
  15.115930  0.402446E+00  0.774503E+00
  15.143140  0.407697E+00  0.765142E+00
  15.170350  0.413353E+00  0.756285E+00
  15.197560  0.419320E+00  0.748049E+00
  15.224780  0.425436E+00  0.740509E+00
  15.251990  0.431480E+00  0.733644E+00
  15.279200  0.437329E+00  0.727258E+00
  15.306410  0.443077E+00  0.721217E+00
  15.333620  0.448786E+00  0.715586E+00
  15.360830  0.454391E+00  0.710414E+00
  15.388040  0.459826E+00  0.705737E+00
  15.415260  0.464920E+00  0.701611E+00
  15.442470  0.469353E+00  0.697923E+00
  15.469680  0.472912E+00  0.694249E+00
  15.496890  0.475740E+00  0.690038E+00
  15.524100  0.478361E+00  0.684926E+00
  15.551310  0.481431E+00  0.679019E+00
  15.578520  0.485263E+00  0.672777E+00
  15.605740  0.489853E+00  0.666546E+00
  15.632950  0.495176E+00  0.660535E+00
  15.660160  0.501275E+00  0.654983E+00
  15.687370  0.508098E+00  0.650335E+00
  15.714580  0.515055E+00  0.647096E+00
  15.741790  0.521265E+00  0.644883E+00
  15.769000  0.526735E+00  0.643011E+00
  15.796210  0.531625E+00  0.641254E+00
  15.823430  0.536073E+00  0.639341E+00
  15.850640  0.540464E+00  0.637154E+00
  15.877850  0.545136E+00  0.634941E+00
  15.905060  0.550095E+00  0.633116E+00
  15.932270  0.554932E+00  0.631978E+00
  15.959480  0.559093E+00  0.631134E+00
  15.986690  0.562949E+00  0.629937E+00
  16.013910  0.567015E+00  0.628661E+00
  16.041120  0.571148E+00  0.627587E+00
  16.068330  0.575229E+00  0.626619E+00
  16.095540  0.579384E+00  0.625643E+00
  16.122750  0.583792E+00  0.624739E+00
  16.149960  0.588516E+00  0.624036E+00
  16.177170  0.593615E+00  0.623625E+00
  16.204390  0.599201E+00  0.623622E+00
  16.231600  0.605442E+00  0.624240E+00
  16.258810  0.612509E+00  0.625955E+00
  16.286020  0.620228E+00  0.629529E+00
  16.313230  0.627905E+00  0.635616E+00
  16.340440  0.634613E+00  0.644529E+00
  16.367650  0.639156E+00  0.656502E+00
  16.394870  0.639345E+00  0.670907E+00
  16.422080  0.634150E+00  0.684537E+00
  16.449290  0.625752E+00  0.695314E+00
  16.476500  0.615810E+00  0.703433E+00
  16.503710  0.605272E+00  0.709358E+00
  16.530920  0.594388E+00  0.714018E+00
  16.558130  0.582434E+00  0.717721E+00
  16.585350  0.568775E+00  0.719528E+00
  16.612560  0.554644E+00  0.717715E+00
  16.639770  0.542915E+00  0.713378E+00
  16.666980  0.533176E+00  0.709933E+00
  16.694190  0.521854E+00  0.707960E+00
  16.721400  0.507207E+00  0.703965E+00
  16.748610  0.491896E+00  0.695034E+00
  16.775830  0.479455E+00  0.682059E+00
  16.803040  0.470740E+00  0.667976E+00
